City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,Meulaboh,4.1363,96.1285,86.65,66,33,4.81,ID,2022-04-17 04:45:29
303,Catuday,16.2923,119.8062,84.07,62,45,3.83,PH,2022-04-17 04:45:30
304,Oistins,13.0667,-59.5333,78.89,78,40,21.85,BB,2022-04-17 04:45:30
305,Luderitz,-26.6481,15.1594,62.2,60,0,9.26,NA,2022-04-17 04:45:30
306,Lorengau,-2.0226,147.2712,84.81,71,45,4.45,PG,2022-04-17 04:45:31
307,Awjilah,29.1081,21.2869,67.37,60,94,17.83,LY,2022-04-17 04:45:31
308,Coihaique,-45.5752,-72.0662,42.75,81,0,5.75,CL,2022-04-17 04:45:31
309,Venado Tuerto,-33.7456,-61.9688,53.89,57,33,4.97,AR,2022-04-17 04:45:32
310,Caxito,-8.5785,13.6643,74.21,99,100,2.84,AO,2022-04-17 04:45:32
311,Fianarantsoa,-21.4333,47.0833,64.11,83,87,5.79,MG,2022-04-17 04:45:32
312,Nouadhibou,20.931,-17.0347,62.58,88,75,10.36,MR,2022-04-17 04:45:32
313,Cascais,38.6979,-9.4215,56.46,72,99,17.0,PT,2022-04-17 04:45:33
314,Oboyan,51.2098,36.2792,41.22,91,100,8.08,RU,2022-04-17 04:45:33
315,Ust-Tsilma,65.441,52.1498,29.77,87,100,8.21,RU,2022-04-17 04:46:33
316,Starokozache,46.3372,29.9853,40.68,83,100,16.53,UA,2022-04-17 04:46:34
317,Siparia,10.1333,-61.5,76.78,93,11,1.01,TT,2022-04-17 04:46:34
318,Abalak,58.1286,68.5944,37.11,76,99,9.08,RU,2022-04-17 04:46:34
319,Sembe,1.6481,14.5806,70.59,98,84,1.36,CG,2022-04-17 04:46:35
320,Redmond,47.674,-122.1215,43.86,79,100,7.0,US,2022-04-17 04:46:35
321,Aasiaat,68.7098,-52.8699,-9.44,99,53,5.06,GL,2022-04-17 04:46:35
322,Iki-Burul,45.8208,44.6472,56.97,58,57,9.86,RU,2022-04-17 04:46:35
323,Vaitape,-16.5167,-151.75,82.09,71,7,13.78,PF,2022-04-17 04:46:36
324,Zaozerne,45.1582,33.2787,49.62,79,100,5.41,UA,2022-04-17 04:46:36
325,Srednekolymsk,67.45,153.6833,20.07,84,100,7.38,RU,2022-04-17 04:46:36
326,Maragogi,-9.0122,-35.2225,77.45,89,79,5.37,BR,2022-04-17 04:46:37
327,Ayan,56.45,138.1667,28.42,76,75,5.86,RU,2022-04-17 04:46:37
328,Kaputa,-8.4689,29.6619,66.79,95,84,2.3,ZM,2022-04-17 04:46:37
329,Haines Junction,60.7522,-137.5108,30.15,86,100,3.44,CA,2022-04-17 04:44:18
330,San Pedro De Macoris,18.4616,-69.2972,71.73,82,99,6.2,DO,2022-04-17 04:46:38
331,Hambantota,6.1241,81.1185,86.34,84,75,6.91,LK,2022-04-17 04:46:38
332,Port Blair,11.6667,92.75,87.84,66,20,6.91,IN,2022-04-17 04:46:38
333,Iqaluit,63.7506,-68.5145,2.93,77,75,16.11,CA,2022-04-17 04:46:39
334,Trinidad,-14.8333,-64.9,66.96,76,30,5.93,BO,2022-04-17 04:46:39
335,Ben Tre,10.2333,106.3833,92.88,45,90,8.37,VN,2022-04-17 04:46:39
336,East London,-33.0153,27.9116,56.34,94,0,3.44,ZA,2022-04-17 04:46:40
337,Port Hardy,50.6996,-127.4199,41.18,70,40,3.44,CA,2022-04-17 04:42:15
338,Ginda,30.6945,78.4932,77.0,18,0,6.76,IN,2022-04-17 04:46:40
339,Chimore,-16.9833,-65.1333,68.4,76,70,1.95,BO,2022-04-17 04:46:40
340,Clyde River,70.4692,-68.5914,-10.97,84,100,2.3,CA,2022-04-17 04:46:41
341,Arman,59.7,150.1667,35.02,63,85,3.76,RU,2022-04-17 04:46:41
342,Miraflores,19.2167,-98.8083,73.02,41,51,3.42,MX,2022-04-17 04:46:41
343,Saint-Joseph,-21.3667,55.6167,79.21,77,12,9.84,RE,2022-04-17 04:46:41
344,Margate,51.3813,1.3862,48.31,86,62,1.99,GB,2022-04-17 04:46:42
345,Adrar,20.5022,-10.0711,72.73,15,0,12.12,MR,2022-04-17 04:46:42
346,Laguna,38.421,-121.4238,57.61,66,0,11.5,US,2022-04-17 04:46:42
347,Kahului,20.8947,-156.47,78.82,64,20,11.99,US,2022-04-17 04:46:43
348,Evanston,42.0411,-87.6901,35.96,74,20,5.75,US,2022-04-17 04:41:52
349,Filadelfia,39.9523,-75.1638,49.87,88,100,4.61,US,2022-04-17 04:43:59
350,Kieta,-6.2167,155.6333,82.13,78,96,4.29,PG,2022-04-17 04:46:43
351,Ust-Ilimsk,58.0006,102.6619,54.1,74,100,12.68,RU,2022-04-17 04:46:43
352,Kaniama,-7.5667,24.1833,66.52,93,100,3.18,CD,2022-04-17 04:46:44
353,Awbari,26.5921,12.7805,58.62,57,0,9.1,LY,2022-04-17 04:46:44
354,Inzhavino,52.3185,42.4937,49.62,84,100,11.41,RU,2022-04-17 04:46:44
